Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Thumbnail,Thumbnail Background,Tagline,Project Link,Project Lead,Twitter of Project Lead,Airtable ID,Project Description,Main Content,Featured Projects
Ground Zero,ground-zero,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e3627f,false,false,Thu Aug 11 2022 12:59:29 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 08:46:19 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e36250_bNzsgNZM91fzP4hEGQGkf7AAFRERPjDVho5AP1v2Nj4.png,,Beginner's Guide to Web3,https://groundzero.superteam.fun/,Paarug Sethi,https://twitter.com/paarugsethi,rec1JOneJoad5PFDt,"Ground Zero is a project to help people learn the basics of crypto with questions answered with a quick summary, videos, articles & tweets to help you understand every important topic for free.
",,false
Ground Zero,ground-zero-a,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e362ff,false,false,Wed Nov 23 2022 00:23:35 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 07:46:08 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e36250_bNzsgNZM91fzP4hEGQGkf7AAFRERPjDVho5AP1v2Nj4.png,,Beginner's Guide to Web3,https://groundzero.superteam.fun/,Paarug Sethi,https://twitter.com/paarugsethi,rect0e2OrlhcfleNJ,"Ground Zero is a project to help people learn the basics of crypto with questions answered with a quick summary, videos, articles & tweets to help you understand every important topic for free.
",,false
Ground Zero,ground-zero-9,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e363ad,false,false,Wed Nov 23 2022 01:49:45 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 07:33:23 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e36250_bNzsgNZM91fzP4hEGQGkf7AAFRERPjDVho5AP1v2Nj4.png,,Beginner's Guide to Web3,https://groundzero.superteam.fun/,Paarug Sethi,https://twitter.com/paarugsethi,recUGA2n5skwWTMfG,"Ground Zero is a project to help people learn the basics of crypto with questions answered with a quick summary, videos, articles & tweets to help you understand every important topic for free.
",,false
Locus,locus,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e36287,false,false,Mon Aug 15 2022 06:33:24 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 08:46:41 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e36264__FbprMMfs_2EApFLcb4w1-XnAasTjNCuummTE-viggQ.jpeg,,Community Management for DAOs,https://www.locus.so/,Vijay Gupta,https://twitter.com/DecentralDude,rec0bdsU3G3L9VXph,"A Community collaboration tool to manage projects and bounties with seamless collaboration among community members.
",,false
Locus,locus-5,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e36319,false,false,Wed Nov 23 2022 00:24:03 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 11:01:08 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e36264__FbprMMfs_2EApFLcb4w1-XnAasTjNCuummTE-viggQ.jpeg,,Community Management for DAOs,https://www.locus.so/,Vijay Gupta,https://twitter.com/DecentralDude,recpLP6lsU7soIldU,"A Community collaboration tool to manage projects and bounties with seamless collaboration among community members.
",,false
Locus,locus-a,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e36390,false,false,Wed Nov 23 2022 01:49:15 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 11:01:24 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e36264__FbprMMfs_2EApFLcb4w1-XnAasTjNCuummTE-viggQ.jpeg,,Community Management for DAOs,https://www.locus.so/,Vijay Gupta,https://twitter.com/DecentralDude,recGIcEHiiLt94STm,"A Community collaboration tool to manage projects and bounties with seamless collaboration among community members.
",,false
Metapass,metapass,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e36288,false,false,Thu Aug 11 2022 04:10:49 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 08:16:35 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e3621d_INH46mAioe7lLXLBTCuF9gowVKmpIl0csXeRuNLNpXs.png,,NFT Ticketing,https://metapasshq.xyz,Anoushk,https://twitter.com/anoushk77,recAOppaCcNJJCzob,"Metapass allows anyone to create events and sell NFT Tickets on Solana and Polygon without any knowledge of crypto or web3.
",,true
Metapass,metapass-0,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e36300,false,false,Wed Nov 23 2022 00:23:36 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 11:01:28 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e3621d_INH46mAioe7lLXLBTCuF9gowVKmpIl0csXeRuNLNpXs.png,,NFT Ticketing,https://metapasshq.xyz,Anoushk,https://twitter.com/anoushk77,recvIpIByWj7Hp6WA,"Metapass allows anyone to create events and sell NFT Tickets on Solana and Polygon without any knowledge of crypto or web3.
",,true
Metapass,metapass-2,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e363a9,false,false,Wed Nov 23 2022 01:49:36 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 08:42:48 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e3621d_INH46mAioe7lLXLBTCuF9gowVKmpIl0csXeRuNLNpXs.png,,NFT Ticketing,https://metapasshq.xyz,Anoushk,https://twitter.com/anoushk77,recJ44sPVkEDudsry,"Metapass allows anyone to create events and sell NFT Tickets on Solana and Polygon without any knowledge of crypto or web3.
",,true
NodeAir,node-air,65b670ec21078c5d27e361e3,65b670ec21078c5d27e361aa,65b670ec21078c5d27e3627d,false,false,Fri Aug 12 2022 19:52:54 GMT+0000 (Coordinated Universal Time),Wed Nov 23 2022 08:35:45 GMT+0000 (Coordinated Universal Time),Sun Jan 28 2024 15:41:13 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/65b670ec21078c5d27e361a9/65b670ec21078c5d27e361ef_oa4IbI5RFwHv46fqdES-ezsTZgIVZHI4ceEUfIXo3Ow.png,,Dashboard for Solana,https://nodeair.io,Bolt,https://twitter.com/0xBolt,recBR4VjOJ8D6MHo4,"NodeAir is a Solana dashboard which utilizes charts and graphs to show wallet details such as transaction history and tokens. A person can also create their profile using which one can view not only theirs but other wallet insights as well.
",,false
